id,track_name,artist,album,popularity,duration_minutes
1,"Oru Manam (From ""Dhruva Natchathiram"")",Harris Jayaraj,"Oru Manam (From ""Dhruva Natchathiram"")",55,5.6709
2,APT.,ROSÃ‰,APT.,88,2.83195
3,Happier,Marshmello,Happier,82,3.57148
4,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,CHARLIE,73,2.57477
5,Glad You Exist,Dan + Shay,Glad You Exist,54,2.40888
6,Attention,Charlie Puth,Voicenotes,88,3.47977
7,Something Just Like This,The Chainsmokers,Memories...Do Not Open,87,4.11933
8,Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,82,2.58305
9,Night Changes,One Direction,FOUR (Deluxe),87,3.77662
10,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind (Special Edition),83,3.62843
